IpwEpsGreedy,PolicyScreeningEpsGreedy,RandomAction,optimal
93.1347637547051,105.3413997952273,286.2372446950524,240.2297788111257
296.0602310328131,162.4788056279242,174.10543117916512,164.28011152565833
67.89378853332926,130.0860321012741,173.4349300159051,98.73479325763785
141.25771701367032,215.56930672500266,246.14271601298898,186.82729303401334
182.96486669018205,135.04871236322188,108.44981091692233,60.63164865842958
166.1006278080927,175.937887673096,150.51016683877472,207.97473658404107
272.14065067790534,168.89764174844217,246.95955162535284,177.67582585883812
75.14403907195567,159.91258982435028,206.1003644896617,149.70014330186723
294.63504996718706,266.50335800699526,193.58692442079297,93.49687795466255
249.4796929603632,123.89551857577075,143.06708021184897,135.63641851920468
250.57278878038593,6.670975891569551,238.37119272004796,143.37632009011983
80.3583764682804,225.05814980440695,153.99430622110734,275.31955043032394
138.44716636817597,87.31990440551706,101.99989271936647,118.51409189843316
218.18885647024086,171.87543183977894,92.2056923901512,114.00743085607358
160.98329755351338,107.06638869863984,200.23652617273737,247.50653236130591
200.82171035797748,229.37924934899218,195.90178014397375,118.12056524671712
213.18548174851844,146.23037267389202,15.020699405326562,189.33150748388803
272.9645508136485,129.42356206898666,166.1028416053364,191.38283577389328
152.901599727746,62.85071955871262,161.6535169503349,191.19263589914013
221.72742177718496,168.93359911505394,100.45233605696242,173.67171297430693
261.5345042375257,249.89230047689702,227.70951232349688,74.788073752896
200.93540252663843,92.43965443653916,196.0473492014369,220.9235747876722
314.85362984244665,187.89582429625605,164.18165649320534,147.38264821904477
113.65278397369505,94.59995734866087,256.4074376509569,264.07449525673644
