IpwEpsGreedy,PolicyScreeningEpsGreedy,non_dominated_policies
103.29515739926022,154.94358447904267,"[10, 13, 17, 18]"
157.66778690309008,155.0682391058793,"[10, 13, 17, 18]"
130.60188330963362,125.04182877056674,"[10, 13, 17, 18]"
130.63665792032685,206.68887018383566,"[10, 13, 17, 18]"
168.59837514384805,127.75988917991,"[10, 13, 17, 18]"
100.70289842551739,198.43457349699318,"[10, 13, 17, 18]"
78.83027599351026,157.7827787698541,"[10, 13, 17, 18]"
179.40688515585845,157.72215216834132,"[10, 13, 17, 18]"
203.87113713442838,155.05578214891165,"[10, 13, 17, 18]"
51.64810669788359,231.06387057683395,"[10, 13, 17, 18]"
179.46785047320196,182.18492655133232,"[10, 13, 17, 18]"
51.70029691871227,78.89546578328218,"[10, 13, 17, 18]"
97.88577980334884,154.9715243410202,"[10, 13, 17, 18]"
73.40349194993374,154.95604601398543,"[10, 13, 17, 18]"
231.1062206662231,103.34928306844063,"[10, 13, 17, 18]"
48.93244528494722,97.8908742130788,"[10, 13, 17, 18]"
